Annee_acquisition;Achat ancien;Heritage;Achat sur plan ou autoconstruction;Achat Neuf;Donation du bien;Viager;Autre
1996;58,3;12,11;12,56;8,07;8,07;0;0,9
1999;64,16;12,35;14,16;4,52;3,92;0,3;0,3
2003;65,62;9,37;14,06;5,08;5,47;0,39;0
2004;57,02;15,7;13,22;4,96;9,09;0;0
2005;59,84;11,48;18,86;2,46;7,38;0;0
2006;69,81;4,72;20,75;1,89;1,89;0;0,94
2007;56,92;20;19,23;3,08;0,77;0;0
2008;55,22;13,43;15,67;5,97;9,7;0;0
2009;58,56;16,22;17,12;1,8;6,31;0;0
2010;59,28;13,77;20,36;3,59;2,99;0;0
2011;61,54;13,61;17,16;4,14;2,96;0;0
2012;62,68;14,44;14,79;3,52;4,58;0;0
Ante_1995;49,21;13,91;20,17;7,66;8,22;0,32;0,47
